template_id,template_str,count,ops,num_examples,constants,sample_example
79b2608886f6,"LINEAR:add(ARG1,ARG2)",65,,65,,mathqa_train_84
80279f6d4063,"LINEAR:divide(ARG0,CONST_2)",64,,64,,mathqa_train_1262
9e832080831a,"LINEAR:add(ARG0,ARG1)|divide(ARG2,TEMP0)",63,,63,,mathqa_train_248
56549e3076d4,"LINEAR:multiply(ARG1,ARG2)|divide(TEMP0,ARG0)",60,,60,,mathqa_train_588
922eb1bb6616,"LINEAR:divide(ARG0,ARG1)|multiply(TEMP0,CONST_3_6)",60,,60,,mathqa_train_1001
953aed2dc4e8,"LINEAR:multiply(ARG1,ARG2)",58,,58,,mathqa_train_2305
6dc1d18bc79f,"LINEAR:divide(ARG1,CONST_100)|multiply(ARG0,TEMP0)",57,,57,,mathqa_train_586
40daf43f7a24,"LINEAR:subtract(ARG0,CONST_10)|subtract(TEMP0,CONST_2)|divide(TEMP1,CONST_4)|add(TEMP2,CONST_2)|power(TEMP2,CONST_2)|add(TEMP3,CONST_2)|power(TEMP3,CONST_2)|add(TEMP5,CONST_2)|add(TEMP4,TEMP6)|power(TEMP5,CONST_2)|power(TEMP7,CONST_2)|add(TEMP9,TEMP10)|add(TEMP11,TEMP8)",56,,56,,mathqa_train_98
dafcb9d1eb36,"LINEAR:multiply(ARG1,CONST_0_2778)|multiply(ARG2,TEMP0)|subtract(TEMP1,ARG0)",56,,56,,mathqa_train_192
7cf2a794b793,"LINEAR:multiply(ARG0,ARG1)|multiply(ARG2,ARG3)|add(TEMP0,TEMP1)",56,,56,,mathqa_train_424
97357f778363,"LINEAR:divide(ARG1,CONST_100)|multiply(ARG0,TEMP0)|add(ARG0,TEMP1)",55,,55,,mathqa_train_1729
972d8eecd31c,"LINEAR:divide(CONST_1,ARG0)|divide(CONST_1,ARG1)|add(TEMP0,TEMP1)|divide(CONST_1,TEMP2)",55,,55,,mathqa_train_448
7538c5a15a8e,"LINEAR:multiply(ARG0,ARG1)|reminder(TEMP0,ARG2)",55,,55,,mathqa_train_226
5f60e6ba3b78,"LINEAR:speed(CONST_1000,CONST_1)|speed(CONST_3600,CONST_1)|multiply(ARG1,TEMP0)|divide(TEMP2,TEMP1)|multiply(ARG2,TEMP3)|subtract(TEMP4,ARG0)",55,,55,,mathqa_train_2495
79e7a335427c,"LINEAR:divide(ARG0,CONST_100)|add(TEMP0,CONST_1)|divide(ARG1,TEMP1)",53,,53,,mathqa_train_936
04ac7f757d6c,"LINEAR:multiply(ARG0,ARG1)|multiply(ARG2,TEMP0)",52,,52,,mathqa_train_1258
0aecb7c623c8,"LINEAR:multiply(ARG0,ARG2)|divide(TEMP0,ARG1)",51,,51,,mathqa_train_93
5e79d9ef1781,"LINEAR:subtract(ARG0,ARG1)|divide(TEMP0,CONST_2)",51,,51,,mathqa_train_1139
a2c66b20d495,"LINEAR:add(ARG0,ARG2)|multiply(ARG0,ARG1)|multiply(ARG2,ARG3)|add(TEMP1,TEMP2)|divide(TEMP3,TEMP0)",50,,50,,mathqa_train_111
6a49f2f9a072,"LINEAR:divide(ARG0,ARG1)|multiply(ARG2,TEMP0)",50,,50,,mathqa_train_336
3a373fdaeee6,"LINEAR:multiply(CONST_2,CONST_2)|subtract(CONST_2,CONST_1)|subtract(TEMP0,CONST_2)|subtract(ARG0,TEMP2)|divide(TEMP3,TEMP1)",48,,48,,mathqa_train_1332
c323db57e31c,"LINEAR:add(CONST_2,CONST_3)|add(CONST_3,CONST_4)|add(CONST_3,CONST_3)|multiply(CONST_3,CONST_4)|multiply(TEMP0,CONST_2)|multiply(TEMP3,CONST_100)|multiply(TEMP1,TEMP0)|multiply(TEMP4,TEMP5)|multiply(TEMP6,TEMP4)|add(TEMP7,TEMP8)|add(TEMP9,TEMP2)|multiply(ARG0,TEMP10)|divide(TEMP11,CONST_100)",45,,45,,mathqa_train_83
d9a56c2912b8,"LINEAR:multiply(ARG0,CONST_1)",44,,44,,mathqa_train_267
c5c5e308a5d2,"LINEAR:divide(ARG1,ARG2)|divide(ARG0,ARG2)|add(TEMP0,TEMP1)|divide(TEMP2,CONST_2)",43,,43,,mathqa_train_44
2143520e4034,"LINEAR:multiply(ARG1,CONST_2)|multiply(ARG0,CONST_2)|subtract(TEMP0,TEMP1)",43,,43,,mathqa_train_214
ae7d99bf0b59,"LINEAR:subtract(ARG2,ARG1)|subtract(ARG0,ARG2)|divide(TEMP0,TEMP1)",43,,43,,mathqa_train_378
d21432574a89,"LINEAR:multiply(ARG1,CONST_100)|divide(TEMP0,ARG0)",42,,42,,mathqa_train_253
bad80c506080,"LINEAR:multiply(ARG1,ARG2)|multiply(ARG3,TEMP0)|subtract(ARG0,TEMP1)",42,,42,,mathqa_train_1440
10278ea21003,"LINEAR:divide(ARG0,ARG1)|subtract(TEMP0,ARG2)|divide(ARG0,TEMP1)",42,,42,,mathqa_train_654
c8fc51d2022a,"LINEAR:divide(ARG1,ARG2)",41,,41,,mathqa_train_142
6d53ee447ce2,"LINEAR:subtract(ARG0,CONST_1)",41,,41,,mathqa_train_1383
6a9cf5ce511e,"LINEAR:add(ARG1,ARG2)|multiply(TEMP0,CONST_0_2778)|divide(ARG0,TEMP1)",40,,40,,mathqa_train_933
69ae2d821baa,"LINEAR:multiply(ARG0,ARG1)|subtract(ARG3,TEMP0)|divide(TEMP1,ARG2)",40,,40,,mathqa_train_899
a95e199ab921,"LINEAR:triangle_area(ARG0,ARG1)",40,,40,,mathqa_train_576
6c1aed47fda2,"LINEAR:subtract(ARG2,ARG0)|multiply(ARG1,TEMP0)|divide(TEMP1,ARG3)|subtract(ARG0,TEMP2)",40,,40,,mathqa_train_376
3a8aca4ec574,"LINEAR:divide(ARG0,CONST_100)|divide(ARG1,TEMP0)",40,,40,,mathqa_train_830
382065056c3c,"LINEAR:multiply(ARG1,CONST_0_2778)|multiply(ARG1,TEMP0)|subtract(ARG0,TEMP1)|divide(TEMP2,ARG1)|divide(TEMP3,CONST_0_2778)",40,,40,,mathqa_train_11
28385af84bc0,"LINEAR:multiply(ARG0,ARG1)|divide(TEMP0,CONST_4)",39,,39,,mathqa_train_126
f18c9a44e75e,"LINEAR:multiply(ARG1,ARG2)|subtract(ARG0,TEMP0)|add(ARG2,TEMP1)",39,,39,,mathqa_train_416
d9fc69104f16,"LINEAR:divide(ARG0,ARG1)|floor(TEMP0)|multiply(ARG1,TEMP1)|subtract(ARG0,TEMP2)",39,,39,,mathqa_train_205
8a1f27368690,"LINEAR:add(ARG1,ARG2)|subtract(TEMP0,ARG0)",39,,39,,mathqa_train_241
8beff5497ce8,"LINEAR:multiply(ARG0,ARG1)|subtract(ARG0,ARG1)|divide(TEMP0,TEMP1)",39,,39,,mathqa_train_322
a782eb2c3df3,"LINEAR:add(ARG1,ARG2)|divide(ARG0,CONST_100)|divide(TEMP0,TEMP1)",38,,38,,mathqa_train_510
f2fad499f3b5,"LINEAR:divide(CONST_1,ARG0)|divide(CONST_1,ARG1)|subtract(TEMP0,TEMP1)|divide(CONST_1,TEMP2)",38,,38,,mathqa_train_138
c69cd9f4faf6,"LINEAR:add(ARG5,CONST_1)|add(ARG0,ARG1)|add(ARG2,TEMP1)|multiply(ARG6,TEMP0)|add(ARG3,TEMP2)|add(ARG4,TEMP4)|subtract(TEMP3,TEMP5)",38,,38,,mathqa_train_645
18adadd4ce40,"LINEAR:divide(ARG0,CONST_100)|multiply(ARG1,TEMP0)|add(ARG1,TEMP1)",37,,37,,mathqa_train_1686
3f28a7c73b02,"LINEAR:divide(ARG1,ARG0)|multiply(TEMP0,CONST_60)|subtract(CONST_60,TEMP1)",37,,37,,mathqa_train_269
8da128e9f4cf,"LINEAR:subtract(ARG0,ARG2)|subtract(ARG1,CONST_1)|divide(TEMP0,TEMP1)|multiply(ARG1,TEMP2)",36,,36,,mathqa_train_596
880997837d50,"LINEAR:add(CONST_3,CONST_4)",36,,36,,mathqa_train_349
5d15225095d2,"LINEAR:divide(ARG0,CONST_100)|subtract(CONST_1,TEMP0)|divide(ARG1,TEMP1)",36,,36,,mathqa_train_1410
92441443aca5,"LINEAR:multiply(ARG0,CONST_2)",36,,36,,mathqa_train_140
de7d9786ce58,"LINEAR:add(ARG0,ARG2)|multiply(ARG1,CONST_1000)|divide(TEMP1,CONST_3600)|divide(TEMP0,TEMP2)",35,,35,,mathqa_train_489
e9634a63a6a7,"LINEAR:add(ARG0,CONST_100)|square_area(CONST_100)|square_area(TEMP0)|subtract(TEMP2,TEMP1)|multiply(TEMP3,CONST_100)|divide(TEMP4,TEMP1)",35,,35,,mathqa_train_423
b1ed6ca08638,"LINEAR:multiply(ARG1,CONST_100)|divide(TEMP0,ARG0)|subtract(CONST_100,TEMP1)|divide(TEMP2,TEMP1)|multiply(TEMP3,CONST_100)",34,,34,,mathqa_train_583
644cf181af48,"LINEAR:add(ARG0,ARG1)|divide(ARG2,CONST_60)|multiply(TEMP0,TEMP1)",34,,34,,mathqa_train_1162
8e88057b83c3,"LINEAR:multiply(ARG0,ARG1)|divide(TEMP0,CONST_100)|subtract(ARG0,TEMP1)|multiply(ARG2,TEMP2)|divide(TEMP3,CONST_100)|subtract(TEMP2,TEMP4)",34,,34,,mathqa_train_1048
05bba1ea330c,"LINEAR:add(CONST_2,CONST_3)|multiply(TEMP0,CONST_2)|multiply(TEMP1,TEMP1)|multiply(ARG0,TEMP2)|divide(TEMP3,TEMP2)",34,,34,,mathqa_train_1324
7f43cf09f2bb,"LINEAR:divide(ARG2,CONST_2)|multiply(ARG0,ARG0)|subtract(TEMP0,TEMP1)",34,,34,,mathqa_train_303
ece19ad227fd,"LINEAR:subtract(ARG2,ARG1)|multiply(TEMP0,CONST_0_2778)|divide(ARG0,TEMP1)",34,,34,,mathqa_train_2640
3d422f4d1b9f,"LINEAR:multiply(CONST_2,CONST_PI)|divide(ARG0,TEMP0)|circle_area(TEMP1)",33,,33,,mathqa_train_1368
b63e7a4fbd78,"LINEAR:add(CONST_3,CONST_4)|add(TEMP0,CONST_2)",33,,33,,mathqa_train_1130
092543238a84,"LINEAR:subtract(CONST_2,CONST_1)|multiply(ARG1,TEMP0)",33,,33,,mathqa_train_280
4560c6e7e9d6,"LINEAR:subtract(ARG0,ARG1)|divide(ARG2,TEMP0)",33,,33,,mathqa_train_2205
00c86fb7e96d,"LINEAR:multiply(ARG0,ARG1)|divide(TEMP0,CONST_100)|add(ARG0,TEMP1)",33,,33,,mathqa_train_304
2b63aa3c6baf,"LINEAR:divide(ARG0,CONST_3)",33,,33,,mathqa_train_567
eee0a3cf8f5e,"LINEAR:multiply(ARG0,CONST_0_2778)|multiply(ARG1,TEMP0)",33,,33,,mathqa_train_1145
6735e727bec7,"LINEAR:add(CONST_3,CONST_4)|multiply(CONST_100,CONST_2)|multiply(TEMP0,CONST_10)|add(TEMP1,TEMP2)|add(TEMP3,CONST_2)|subtract(ARG1,TEMP4)",32,,32,,mathqa_train_816
2d9e9f8a4704,"LINEAR:quadrilateral_area(ARG2,ARG1,ARG0)",32,,32,,mathqa_train_817
56deda6d7608,"LINEAR:add(ARG0,ARG1)|multiply(TEMP0,CONST_0_2778)|divide(ARG2,TEMP1)",32,,32,,mathqa_train_163
e98cfc5d03ce,"LINEAR:divide(ARG1,ARG2)|divide(ARG0,ARG2)|floor(TEMP0)|floor(TEMP1)|add(TEMP3,CONST_1)|multiply(ARG2,TEMP2)|multiply(ARG2,TEMP4)|subtract(TEMP5,TEMP6)|divide(TEMP7,ARG2)|add(TEMP8,CONST_1)",32,,32,,mathqa_train_2075
644563efa605,"LINEAR:reminder(ARG1,ARG2)",32,,32,,mathqa_train_2947
d20b32c9ad9d,"LINEAR:divide(ARG1,ARG2)|multiply(ARG0,TEMP0)",32,,32,,mathqa_train_1038
0b666b16d369,"LINEAR:subtract(ARG1,ARG0)|divide(TEMP0,CONST_2)",32,,32,,mathqa_train_1712
87fc4e08c71f,"LINEAR:divide(ARG1,CONST_100)|add(TEMP0,CONST_1)|divide(ARG0,TEMP1)",31,,31,,mathqa_train_206
b6ff316822d0,"LINEAR:add(CONST_1,CONST_4)|power(TEMP0,CONST_4)|multiply(ARG0,TEMP1)",31,,31,,mathqa_train_1630
38a9bce0cc9f,"LINEAR:divide(CONST_100,ARG1)|multiply(ARG0,TEMP0)",31,,31,,mathqa_train_431
9288b20d7465,"LINEAR:multiply(ARG1,CONST_100)|subtract(CONST_100,ARG0)|divide(TEMP0,TEMP1)",31,,31,,mathqa_train_518
9d185b0224e1,"LINEAR:multiply(ARG2,CONST_0_2778)|multiply(ARG1,TEMP0)",31,,31,,mathqa_train_81
79845402c619,"LINEAR:add(CONST_3,CONST_4)|multiply(TEMP0,CONST_3)|add(TEMP1,CONST_1)|divide(TEMP2,TEMP0)|multiply(ARG0,TEMP3)|multiply(TEMP4,CONST_2)|multiply(ARG1,TEMP5)|divide(TEMP6,CONST_100)",31,,31,,mathqa_train_1706
86e406f314b3,"LINEAR:subtract(ARG1,ARG2)|subtract(ARG2,ARG0)|divide(TEMP0,TEMP1)",31,,31,,mathqa_train_1455
2fb5c072595d,"LINEAR:multiply(ARG0,ARG2)|subtract(ARG1,TEMP0)|add(ARG2,TEMP1)",30,,30,,mathqa_train_473
17a2342fe088,"LINEAR:divide(ARG2,ARG1)|multiply(ARG0,TEMP0)",30,,30,,mathqa_train_1183
6dbbff5805a6,"LINEAR:add(ARG0,ARG1)|multiply(CONST_2,CONST_3)|multiply(TEMP1,CONST_10)|divide(ARG2,TEMP2)|multiply(ARG3,TEMP3)|multiply(TEMP4,CONST_1000)|divide(TEMP5,TEMP0)|divide(TEMP6,CONST_2)|multiply(ARG1,TEMP7)|rectangle_area(TEMP7,TEMP8)",30,,30,,mathqa_train_853
a0a01a9e3606,"LINEAR:divide(ARG0,CONST_1000)|divide(ARG1,CONST_3600)|divide(TEMP0,TEMP1)",30,,30,,mathqa_train_4627
292e7f5bd12e,"LINEAR:add(ARG0,ARG1)|multiply(ARG0,ARG1)|divide(TEMP1,TEMP0)",30,,30,,mathqa_train_1603
c01a63d79fd6,"LINEAR:add(ARG2,CONST_100)|subtract(CONST_100,ARG1)|divide(CONST_1,TEMP1)|multiply(TEMP0,TEMP2)|divide(CONST_1,TEMP3)|multiply(ARG0,TEMP4)",30,,30,,mathqa_train_1448
144f72172b41,"LINEAR:multiply(ARG0,ARG0)|multiply(ARG2,ARG3)|multiply(ARG4,ARG5)|add(TEMP1,TEMP2)|subtract(TEMP0,TEMP3)",30,,30,,mathqa_train_2550
eaab3f09ee0a,"LINEAR:multiply(ARG0,CONST_4)",30,,30,,mathqa_train_2005
061b12d831cc,"LINEAR:divide(ARG2,ARG0)",29,,29,,mathqa_train_2936
63999196ab86,"LINEAR:add(ARG1,ARG2)|subtract(TEMP0,ARG3)|subtract(ARG0,TEMP1)",29,,29,,mathqa_train_924
805ed2af73f9,"LINEAR:multiply(ARG1,ARG2)|divide(TEMP0,CONST_2)",29,,29,,mathqa_train_3289
54ad344e525b,"LINEAR:divide(ARG0,ARG1)|floor(TEMP0)",29,,29,,mathqa_train_200
3d94da3c327f,"LINEAR:divide(ARG0,ARG2)|divide(ARG1,ARG2)|subtract(TEMP0,TEMP1)|divide(TEMP2,CONST_2)",29,,29,,mathqa_train_310
33ab917d921a,"LINEAR:multiply(ARG0,ARG1)|multiply(ARG2,ARG3)|subtract(TEMP0,TEMP1)|divide(TEMP2,ARG4)",29,,29,,mathqa_train_1701
1e76c15934ea,"LINEAR:multiply(ARG0,CONST_0_2778)",29,,29,,mathqa_train_156
368272450239,"LINEAR:multiply(ARG0,ARG2)|divide(TEMP0,CONST_100)|divide(TEMP1,ARG1)",29,,29,,mathqa_train_152
d678720c0604,"LINEAR:divide(CONST_100,ARG0)",29,,29,,mathqa_train_1443
962f26268457,"LINEAR:add(ARG1,CONST_1)",28,,28,,mathqa_train_1256
1c454c721728,"LINEAR:subtract(ARG0,ARG1)|divide(TEMP0,ARG0)|multiply(TEMP1,CONST_60)",28,,28,,mathqa_train_1809
47c75f63b3d7,"LINEAR:divide(ARG0,CONST_2)|subtract(TEMP0,ARG1)",28,,28,,mathqa_train_374
690d66bceaa5,"LINEAR:rhombus_area(ARG0,ARG1)",28,,28,,mathqa_train_434
24f24f957b38,"LINEAR:divide(ARG1,ARG0)|subtract(TEMP0,ARG2)",28,,28,,mathqa_train_3958
ef6b371f65b5,"LINEAR:multiply(ARG0,ARG1)|subtract(ARG0,CONST_2)|subtract(TEMP1,ARG3)|add(TEMP0,TEMP2)|divide(TEMP3,ARG0)",28,,28,,mathqa_train_550
7cc8d0c4b4c7,"LINEAR:speed(ARG0,ARG2)|multiply(ARG1,TEMP0)|subtract(TEMP1,ARG0)",28,,28,,mathqa_train_1008
ef6ff9311495,"LINEAR:add(ARG0,ARG1)|subtract(ARG0,ARG1)|add(TEMP0,TEMP1)|multiply(TEMP0,TEMP1)|divide(TEMP3,TEMP2)|multiply(TEMP4,CONST_2)",28,,28,,mathqa_train_2213
26e828d8ee0c,"LINEAR:subtract(ARG0,ARG1)|multiply(TEMP0,CONST_1000)|divide(TEMP1,CONST_3600)|multiply(ARG2,TEMP2)|divide(TEMP3,CONST_2)",28,,28,,mathqa_train_833
d95d4d17b972,"LINEAR:divide(ARG2,CONST_100)|multiply(CONST_100,CONST_4)|add(TEMP0,CONST_1)|multiply(TEMP1,CONST_100)|power(TEMP2,ARG1)|multiply(TEMP3,TEMP4)|subtract(TEMP5,TEMP3)",27,,27,,mathqa_train_697
237fbb8e21c4,"LINEAR:reminder(ARG0,ARG1)|subtract(ARG1,TEMP0)",27,,27,,mathqa_train_418
38da1039cfae,"LINEAR:add(ARG0,ARG1)|divide(TEMP0,ARG2)",27,,27,,mathqa_train_3417
a4dbb954d246,"LINEAR:lcm(ARG0,ARG1)",27,,27,,mathqa_train_394
7dfd7b058a28,"LINEAR:divide(ARG2,ARG1)|divide(ARG0,TEMP0)",27,,27,,mathqa_train_1377
b1f86483929d,"LINEAR:multiply(ARG1,CONST_2)",27,,27,,mathqa_train_294
df14da10c18d,"LINEAR:add(ARG1,ARG2)|multiply(TEMP0,CONST_0_2778)|multiply(ARG3,TEMP1)|subtract(TEMP2,ARG0)",27,,27,,mathqa_train_1567
9bf1f4229299,"LINEAR:add(ARG0,ARG1)|subtract(ARG2,TEMP0)|divide(TEMP1,TEMP0)|multiply(TEMP2,CONST_100)",27,,27,,mathqa_train_649
2658c3ae1999,"LINEAR:sqrt(ARG1)|sqrt(ARG0)|divide(TEMP0,TEMP1)",27,,27,,mathqa_train_949
c336869ebf85,"LINEAR:divide(ARG1,ARG2)|subtract(ARG0,TEMP0)",27,,27,,mathqa_train_1088
2053c6b38b67,"LINEAR:multiply(ARG1,CONST_100)|multiply(ARG0,ARG2)|divide(TEMP0,TEMP1)",26,,26,,mathqa_train_1684
6f5da792f188,"LINEAR:subtract(ARG0,ARG2)|subtract(ARG1,ARG0)|divide(TEMP0,TEMP1)",26,,26,,mathqa_train_1428
7bbb17ead2b0,"LINEAR:factorial(ARG0)|factorial(ARG1)|factorial(ARG3)|multiply(TEMP0,TEMP1)|multiply(TEMP0,TEMP2)|add(TEMP3,TEMP4)|divide(TEMP5,ARG0)",26,,26,,mathqa_train_1531
6a16b2982645,"LINEAR:divide(ARG1,CONST_10)",26,,26,,mathqa_train_364
1804cd3a608e,"LINEAR:multiply(ARG0,ARG2)|multiply(ARG1,ARG2)|multiply(TEMP0,CONST_100)|add(TEMP2,TEMP1)",26,,26,,mathqa_train_359
1fd8d61e667e,"LINEAR:multiply(ARG0,CONST_100)|divide(TEMP0,ARG1)|divide(TEMP1,ARG2)",26,,26,,mathqa_train_1469
311d6029c719,"LINEAR:divide(ARG1,ARG0)|multiply(TEMP0,CONST_2)|add(ARG0,TEMP1)",26,,26,,mathqa_train_2107
9ff34378c79e,"LINEAR:add(ARG0,ARG1)|multiply(ARG2,CONST_0_2778)|divide(TEMP0,TEMP1)",26,,26,,mathqa_train_275
5a1e42f920c5,"LINEAR:subtract(ARG0,CONST_1)|divide(ARG1,TEMP0)",26,,26,,mathqa_train_3213
5e68cabef49b,"LINEAR:multiply(ARG0,ARG2)|multiply(ARG1,ARG3)|divide(TEMP0,TEMP1)",26,,26,,mathqa_train_723
3730c60a505e,"LINEAR:divide(ARG0,ARG1)|divide(CONST_1,CONST_3)|power(TEMP0,TEMP1)",26,,26,,mathqa_train_468
96a051bc2ae2,"LINEAR:add(CONST_3,CONST_3)|UNKOP_choose(TEMP0,CONST_3)|divide(CONST_2,TEMP1)",26,,26,,mathqa_train_2793
70d7b0c215aa,"LINEAR:subtract(ARG1,CONST_4)|multiply(TEMP0,ARG0)",26,,26,,mathqa_train_1248
2938d65f4b04,"LINEAR:subtract(ARG0,ARG2)",26,,26,,mathqa_train_2741
ced6da97b24f,"LINEAR:multiply(ARG0,CONST_3)|multiply(CONST_2,CONST_3)|subtract(ARG1,TEMP0)|divide(TEMP2,TEMP1)",26,,26,,mathqa_train_938
07d149b96c9e,"LINEAR:multiply(ARG1,CONST_100)|divide(TEMP0,ARG0)|subtract(CONST_100,TEMP1)",25,,25,,mathqa_train_6
44beb3900a7f,"LINEAR:factorial(ARG0)|factorial(ARG1)|multiply(TEMP0,TEMP1)",25,,25,,mathqa_train_3888
2d19f3ba68f6,"LINEAR:multiply(CONST_100,CONST_3)|multiply(CONST_1,CONST_10)|add(TEMP0,TEMP1)|add(TEMP2,CONST_4)|divide(TEMP3,CONST_100)|multiply(TEMP4,CONST_2)|multiply(ARG0,TEMP5)|divide(ARG1,TEMP6)",25,,25,,mathqa_train_835
c60ac81eed3d,"LINEAR:factorial(ARG0)|factorial(CONST_2)|subtract(ARG0,CONST_2)|factorial(TEMP2)|multiply(TEMP3,TEMP1)|divide(TEMP0,TEMP4)",25,,25,,mathqa_train_1385
000af261b362,"LINEAR:subtract(ARG1,ARG2)|multiply(ARG2,TEMP0)",25,,25,,mathqa_train_1433
1c6e4746c35a,"LINEAR:add(ARG0,ARG1)|add(CONST_1,CONST_4)|add(ARG2,TEMP0)|add(ARG3,TEMP2)|add(ARG4,TEMP3)|divide(TEMP4,TEMP1)",25,,25,,mathqa_train_1547
60c11a493b84,"LINEAR:subtract(ARG2,ARG0)|subtract(ARG0,ARG3)|multiply(ARG1,TEMP0)|divide(TEMP2,TEMP1)|add(ARG1,TEMP3)",25,,25,,mathqa_train_893
32f309dfec6e,"LINEAR:inverse(ARG0)|inverse(ARG1)|subtract(TEMP0,TEMP1)|inverse(TEMP2)",25,,25,,mathqa_train_4397
9fed9bd2a066,LINEAR:square_area(ARG0),25,,25,,mathqa_train_143
1f3a4220fdb1,"LINEAR:multiply(CONST_10,CONST_4)|add(TEMP0,CONST_2)|add(TEMP1,CONST_100)|subtract(ARG1,TEMP2)|divide(ARG0,TEMP3)",25,,25,,mathqa_train_1416
7ce4834011cf,"LINEAR:add(ARG1,ARG2)|add(ARG3,TEMP0)|subtract(TEMP1,ARG0)",24,,24,,mathqa_train_2123
c301cfe3c3ca,"LINEAR:multiply(ARG0,ARG1)|divide(TEMP0,CONST_100)",24,,24,,mathqa_train_766
b93197895953,"LINEAR:floor(ARG1)|subtract(ARG1,TEMP0)|divide(ARG0,TEMP1)",24,,24,,mathqa_train_2648
3be0501d941a,"LINEAR:add(ARG0,CONST_1)|add(ARG1,ARG2)|multiply(ARG0,ARG1)|multiply(TEMP0,TEMP1)|subtract(TEMP3,TEMP2)",24,,24,,mathqa_train_271
c48bf3295fc0,"LINEAR:multiply(ARG0,ARG1)|divide(ARG2,TEMP0)",24,,24,,mathqa_train_179
33d782e13035,"LINEAR:subtract(ARG1,ARG0)|divide(TEMP0,ARG0)|divide(TEMP1,ARG2)|multiply(TEMP2,CONST_100)",24,,24,,mathqa_train_1013
38cc4218a7a0,"LINEAR:subtract(ARG0,ARG1)|divide(ARG2,TEMP0)|multiply(ARG1,TEMP1)",24,,24,,mathqa_train_180
ac7119497220,"LINEAR:divide(ARG0,CONST_100)|divide(CONST_1,CONST_3)|multiply(ARG1,TEMP0)|multiply(TEMP1,TEMP2)|subtract(TEMP2,TEMP3)",24,,24,,mathqa_train_1177
5d996750bedc,"LINEAR:add(CONST_3,CONST_4)|subtract(ARG0,CONST_3)|multiply(TEMP1,CONST_2)|divide(TEMP2,TEMP0)|multiply(TEMP3,CONST_2)|multiply(ARG0,TEMP4)",24,,24,,mathqa_train_555
047e2d7464c5,"LINEAR:add(ARG3,ARG4)|multiply(TEMP0,CONST_0_2778)|divide(ARG2,TEMP1)",24,,24,,mathqa_train_3203
2ca0d9cde15d,"LINEAR:add(ARG0,ARG2)",24,,24,,mathqa_train_38
